prison,date,incidents
Downview,2018-08-01,1
Drake Hall,2016-11-01,1
Durham,2000-01-01,1
Durham,2002-04-01,1
Durham,2002-06-01,1
Durham,2002-08-01,1
Durham,2002-10-01,3
Durham,2003-02-01,1
Durham,2003-05-01,1
Durham,2003-11-01,2
Durham,2003-12-01,1
Durham,2004-05-01,2
Durham,2004-10-01,1
Durham,2005-06-01,1
Durham,2005-08-01,1
Durham,2006-07-01,1
Durham,2006-11-01,1
Durham,2009-03-01,1
Durham,2009-04-01,1
Durham,2009-05-01,2
Durham,2010-06-01,1
Durham,2011-07-01,1
Durham,2012-04-01,1
Durham,2012-05-01,1
Durham,2013-02-01,1
Durham,2013-03-01,1
Durham,2013-12-01,1
Durham,2014-08-01,1
Durham,2014-09-01,1
Durham,2015-05-01,1
Durham,2015-07-01,1
Durham,2016-10-01,1
Durham,2017-01-01,1
Durham,2017-08-01,1
Durham,2017-12-01,1
Durham,2018-02-01,1
Durham,2018-03-01,1
Durham,2018-06-01,1
Durham,2019-02-01,2
Durham,2019-03-01,1
Durham,2019-09-01,1
Durham,2020-01-01,1
Durham,2020-05-01,1
Durham,2020-07-01,2
Durham,2022-11-01,2
Durham,2022-12-01,1
Durham,2023-03-01,1
Durham,2024-03-01,1
Durham,2024-07-01,2
Eastwood Park,2000-06-01,1
Eastwood Park,2000-09-01,1
Eastwood Park,2000-11-01,1
Eastwood Park,2001-11-01,1
Eastwood Park,2002-04-01,1
Eastwood Park,2003-01-01,1
Eastwood Park,2005-06-01,1
Eastwood Park,2006-10-01,1
Eastwood Park,2007-01-01,1
Eastwood Park,2016-05-01,2
Eastwood Park,2016-08-01,1
Eastwood Park,2022-07-01,2
Eastwood Park,2022-12-01,1
Edmunds Hill,2002-09-01,1
Edmunds Hill,2004-01-01,2
Edmunds Hill,2008-08-01,1
Elmley (Sheppey),2000-03-01,1
Elmley (Sheppey),2003-03-01,1
Elmley (Sheppey),2003-11-01,1
Elmley (Sheppey),2004-08-01,1
Elmley (Sheppey),2008-04-01,1
Elmley (Sheppey),2008-07-01,1
Elmley (Sheppey),2009-04-01,1
Elmley (Sheppey),2010-12-01,1
Elmley (Sheppey),2012-01-01,1
Elmley (Sheppey),2012-10-01,1
Elmley (Sheppey),2012-11-01,1
Elmley (Sheppey),2013-01-01,1
Elmley (Sheppey),2013-12-01,1
Elmley (Sheppey),2014-03-01,1
Elmley (Sheppey),2014-05-01,1
Elmley (Sheppey),2014-11-01,2
Elmley (Sheppey),2014-12-01,1
Elmley (Sheppey),2016-12-01,1
Elmley (Sheppey),2017-01-01,1
Elmley (Sheppey),2017-12-01,1
Elmley (Sheppey),2019-09-01,1
Elmley (Sheppey),2021-01-01,1
Elmley (Sheppey),2021-11-01,1
Elmley (Sheppey),2022-02-01,1
Elmley (Sheppey),2023-11-01,1
Erlestoke,2001-08-01,1
Erlestoke,2010-02-01,1
Erlestoke,2015-05-01,1
Erlestoke,2019-08-01,1
Escort Areas,2001-11-01,1
Escort Areas,2003-11-01,1
Escort Areas,2006-12-01,1
Escort Areas,2007-06-01,1
Escort Areas,2008-08-01,1
Escort Areas,2022-12-01,1
Everthorpe,2001-12-01,1
Everthorpe,2006-10-01,1
Everthorpe,2014-01-01,1
Exeter,2000-10-01,1
Exeter,2000-11-01,1
Exeter,2001-01-01,1
Exeter,2001-06-01,1
