prison,date,incidents
Bullingdon,2021-09-01,1
Bullingdon,2021-12-01,1
Bullingdon,2022-02-01,1
Bullingdon,2022-06-01,1
Bullingdon,2022-07-01,1
Bullingdon,2023-02-01,3
Bullingdon,2023-03-01,1
Bullingdon,2024-08-01,1
Bullingdon,2024-09-01,1
Bullwood Hall,2001-04-01,1
Bullwood Hall,2003-02-01,1
Bure,2011-07-01,1
Bure,2013-08-01,1
Bure,2014-03-01,1
Bure,2015-03-01,1
Bure,2015-10-01,1
Bure,2016-05-01,2
Bure,2017-05-01,2
Bure,2017-08-01,1
Bure,2017-09-01,1
Bure,2017-10-01,1
Bure,2020-01-01,1
Bure,2020-05-01,2
Bure,2020-08-01,2
Bure,2021-01-01,1
Bure,2021-02-01,1
Bure,2021-03-01,2
Bure,2021-04-01,1
Bure,2021-05-01,1
Bure,2022-07-01,1
Bure,2022-09-01,1
Bure,2023-04-01,1
Bure,2023-07-01,1
Bure,2023-08-01,1
Bure,2023-10-01,1
Canterbury,2002-02-01,1
Canterbury,2002-05-01,1
Canterbury,2004-02-01,1
Canterbury,2007-11-01,1
Cardiff,2000-04-01,1
Cardiff,2000-12-01,1
Cardiff,2001-01-01,1
Cardiff,2001-03-01,1
Cardiff,2001-10-01,1
Cardiff,2002-05-01,1
Cardiff,2004-10-01,1
Cardiff,2005-12-01,1
Cardiff,2006-02-01,1
Cardiff,2006-10-01,1
Cardiff,2007-01-01,2
Cardiff,2007-06-01,3
Cardiff,2008-03-01,1
Cardiff,2009-03-01,1
Cardiff,2009-07-01,1
Cardiff,2009-10-01,1
Cardiff,2009-11-01,1
Cardiff,2009-12-01,1
Cardiff,2010-04-01,2
Cardiff,2010-09-01,1
Cardiff,2011-01-01,3
Cardiff,2011-08-01,1
Cardiff,2012-06-01,1
Cardiff,2012-07-01,1
Cardiff,2012-11-01,2
Cardiff,2012-12-01,1
Cardiff,2013-07-01,1
Cardiff,2013-09-01,1
Cardiff,2014-02-01,1
Cardiff,2014-03-01,2
Cardiff,2015-10-01,1
Cardiff,2016-05-01,1
Cardiff,2016-10-01,1
Cardiff,2016-12-01,2
Cardiff,2017-03-01,1
Cardiff,2017-10-01,2
Cardiff,2018-04-01,1
Cardiff,2019-01-01,1
Cardiff,2019-02-01,1
Cardiff,2019-03-01,1
Cardiff,2019-09-01,1
Cardiff,2020-02-01,1
Cardiff,2020-04-01,1
Cardiff,2020-05-01,1
Cardiff,2020-12-01,2
Cardiff,2021-07-01,1
Cardiff,2021-08-01,1
Cardiff,2021-09-01,1
Cardiff,2021-10-01,1
Cardiff,2021-12-01,1
Cardiff,2022-07-01,1
Cardiff,2022-08-01,1
Cardiff,2022-12-01,1
Cardiff,2023-12-01,2
Cardiff,2024-09-01,1
Channings Wood,2001-10-01,1
Channings Wood,2002-12-01,1
Channings Wood,2003-01-01,1
Channings Wood,2005-10-01,1
Channings Wood,2006-01-01,1
Channings Wood,2006-04-01,1
Channings Wood,2006-09-01,1
Channings Wood,2006-10-01,1
Channings Wood,2007-01-01,1
Channings Wood,2011-09-01,1
Channings Wood,2011-10-01,1
Channings Wood,2012-01-01,1
Channings Wood,2012-06-01,1
Channings Wood,2012-08-01,2
Channings Wood,2013-02-01,2
Channings Wood,2013-04-01,1
Channings Wood,2013-05-01,1
Channings Wood,2013-09-01,1
Channings Wood,2014-03-01,1
Channings Wood,2014-05-01,1
Channings Wood,2015-01-01,1
Channings Wood,2015-02-01,1
Channings Wood,2015-12-01,1
Channings Wood,2016-01-01,1
Channings Wood,2016-02-01,1
Channings Wood,2016-06-01,1
Channings Wood,2016-07-01,1
Channings Wood,2017-02-01,1
Channings Wood,2017-03-01,1
Channings Wood,2018-01-01,2
Channings Wood,2018-05-01,1
Channings Wood,2018-06-01,1
Channings Wood,2018-08-01,1
Channings Wood,2019-02-01,1
Channings Wood,2019-07-01,1
Channings Wood,2020-04-01,1
Channings Wood,2020-05-01,2
Channings Wood,2020-12-01,1
Channings Wood,2021-07-01,1
Channings Wood,2021-08-01,1
Channings Wood,2021-11-01,1
Channings Wood,2022-05-01,1
Channings Wood,2023-02-01,1
Channings Wood,2023-04-01,1
Channings Wood,2023-05-01,1
Channings Wood,2023-07-01,2
Channings Wood,2023-08-01,1
Chelmsford,2000-06-01,1
Chelmsford,2001-10-01,1
Chelmsford,2002-05-01,1
Chelmsford,2002-06-01,1
Chelmsford,2004-05-01,1
Chelmsford,2005-03-01,1
Chelmsford,2005-09-01,1
Chelmsford,2006-10-01,1
Chelmsford,2007-05-01,1
Chelmsford,2007-10-01,1
Chelmsford,2007-11-01,1
Chelmsford,2007-12-01,1
Chelmsford,2008-01-01,1
Chelmsford,2008-02-01,1
Chelmsford,2008-03-01,1
Chelmsford,2008-09-01,1
Chelmsford,2011-05-01,1
Chelmsford,2011-07-01,1
Chelmsford,2012-06-01,1
Chelmsford,2012-09-01,1
Chelmsford,2012-10-01,1
Chelmsford,2013-07-01,1
Chelmsford,2013-08-01,1
Chelmsford,2013-11-01,1
Chelmsford,2014-03-01,1
Chelmsford,2015-03-01,1
Chelmsford,2015-09-01,1
Chelmsford,2015-10-01,1
Chelmsford,2016-01-01,1
Chelmsford,2016-09-01,2
Chelmsford,2016-12-01,1
Chelmsford,2017-03-01,1
Chelmsford,2017-07-01,1
Chelmsford,2017-10-01,1
Chelmsford,2018-01-01,1
Chelmsford,2018-06-01,1
Chelmsford,2018-07-01,1
Chelmsford,2018-08-01,1
Chelmsford,2018-09-01,1
Chelmsford,2018-10-01,2
Chelmsford,2019-04-01,1
Chelmsford,2019-07-01,1
Chelmsford,2019-08-01,1
Chelmsford,2019-11-01,1
Chelmsford,2020-07-01,1
Chelmsford,2020-08-01,1
Chelmsford,2021-03-01,3
Chelmsford,2021-06-01,1
Chelmsford,2023-01-01,2
Chelmsford,2023-03-01,1
Chelmsford,2023-10-01,2
Chelmsford,2024-02-01,1
Chelmsford,2024-03-01,1
Coldingley,2000-04-01,1
Coldingley,2000-05-01,1
Coldingley,2002-07-01,1
Coldingley,2005-12-01,1
Coldingley,2011-04-01,1
Coldingley,2013-07-01,1
Coldingley,2015-09-01,1
Coldingley,2015-10-01,1
Coldingley,2016-04-01,1
Coldingley,2017-07-01,1
Coldingley,2018-08-01,1
Coldingley,2018-09-01,1
Coldingley,2019-06-01,1
Coldingley,2019-10-01,1
Coldingley,2020-12-01,1
Coldingley,2023-03-01,1
Cookham Wood,2006-10-01,1
Cookham Wood,2012-01-01,1
Cookham Wood,2015-07-01,1
Cookham Wood,2019-06-01,1
Dartmoor,2000-01-01,1
Dartmoor,2000-06-01,1
Dartmoor,2001-04-01,1
Dartmoor,2001-11-01,1
Dartmoor,2003-11-01,1
Dartmoor,2003-12-01,1
Dartmoor,2004-08-01,1
Dartmoor,2005-07-01,1
Dartmoor,2006-09-01,1
Dartmoor,2006-10-01,1
Dartmoor,2007-02-01,1
Dartmoor,2009-01-01,1
Dartmoor,2009-02-01,1
Dartmoor,2012-05-01,1
Dartmoor,2014-01-01,1
Dartmoor,2014-12-01,1
Dartmoor,2015-03-01,2
Dartmoor,2015-07-01,1
Dartmoor,2015-11-01,2
Dartmoor,2016-10-01,2
Dartmoor,2016-11-01,1
Dartmoor,2017-02-01,1
Dartmoor,2017-08-01,1
Dartmoor,2017-10-01,1
Dartmoor,2017-12-01,1
Dartmoor,2018-12-01,1
Dartmoor,2019-03-01,1
Dartmoor,2019-04-01,1
Dartmoor,2019-10-01,1
Dartmoor,2019-11-01,1
Dartmoor,2019-12-01,1
Dartmoor,2020-02-01,1
Dartmoor,2020-05-01,1
Dartmoor,2020-12-01,1
Dartmoor,2021-04-01,1
Dartmoor,2021-07-01,1
Dartmoor,2021-12-01,1
Dartmoor,2022-03-01,1
Dartmoor,2022-04-01,1
Dartmoor,2022-09-01,1
Dartmoor,2022-10-01,2
Dartmoor,2022-11-01,1
Dartmoor,2023-01-01,1
Dartmoor,2023-02-01,1
Dartmoor,2023-10-01,2
Dartmoor,2024-08-01,1
Deerbolt,2009-12-01,1
Deerbolt,2016-05-01,1
Doncaster,2000-01-01,2
Doncaster,2000-04-01,1
Doncaster,2000-10-01,2
Doncaster,2002-01-01,1
